Tiempo ,Entrada,ANGULO,POSICION
-0.4,0,0,0
-0.38,0,0,0
-0.36,0,0,0
-0.34,0,0,0
-0.32,0,0,0
-0.3,0,0,0
-0.28,0,0,0
-0.26,0,0,0
-0.24,0,0,0
-0.22,0,0,0
-0.2,0,0,0
-0.18,0,0,0
-0.16,0,0,0
-0.14,0,0,0
-0.12,0,0,0
-0.1,0,0,0
-0.08,0,0,0
-0.06,0,0,0
-0.04,0,0,0
-0.02,0,0,0
0,0,0,0
0.02,0,0,0
0.04,0.3,0,0
0.06,0.6,0,0
0.08,0.9,0,0
0.1,1.2,0,0
0.12,1.5,0,0
0.14,1.8,0,0
0.16,2.1,0,0
0.18,2.4,-0.003,0
0.2,2.7,-0.009,0.001
0.22,3,-0.016,0.001
0.24,3.3,-0.026,0.002
0.26,3.6,-0.037,0.002
0.28,3.9,-0.049,0.003
0.3,4.2,-0.061,0.004
0.32,4.5,-0.068,0.005
0.34,4.8,-0.051,0.004
0.36,5.1,-0.054,0.005
0.38,5.4,-0.077,0.006
0.4,5.7,-0.089,0.008
0.42,6,-0.115,0.01
0.44,6.3,-0.145,0.012
0.46,6.6,-0.162,0.014
0.48,6.9,-0.192,0.017
0.5,7.2,-0.215,0.019
0.52,7.5,-0.244,0.022
0.54,7.5,-0.267,0.025
0.56,7.5,-0.288,0.028
0.58,7.5,-0.311,0.031
0.6,7.5,-0.325,0.035
0.62,7.5,-0.342,0.038
0.64,7.5,-0.347,0.041
0.66,7.5,-0.353,0.045
0.68,7.5,-0.358,0.049
0.7,7.5,-0.353,0.052
0.72,7.5,-0.344,0.056
0.74,7.5,-0.33,0.059
0.76,7.5,-0.314,0.063
0.78,7.5,-0.291,0.066
0.8,7.5,-0.265,0.07
0.82,7.5,-0.237,0.074
0.84,7.5,-0.206,0.077
0.86,7.5,-0.169,0.081
0.88,7.5,-0.133,0.085
0.9,7.5,-0.096,0.088
0.92,7.5,-0.058,0.092
0.94,7.5,-0.019,0.096
0.96,7.5,0.021,0.1
0.98,7.5,0.065,0.103
1,7.5,0.101,0.107
1.02,7.5,0.14,0.111
1.04,7.5,0.173,0.115
1.06,7.5,0.208,0.118
1.08,7.5,0.241,0.122
1.1,7.5,0.265,0.126
1.12,7.5,0.29,0.13
1.14,7.5,0.307,0.133
1.16,7.5,0.323,0.137
1.18,7.5,0.333,0.141
1.2,7.5,0.339,0.145
1.22,7.5,0.344,0.148
1.24,7.5,0.339,0.152
1.26,7.5,0.33,0.156
1.28,7.5,0.318,0.159
1.3,7.5,0.3,0.163
1.32,7.5,0.278,0.167
1.34,7.5,0.248,0.171
1.36,7.5,0.216,0.174
1.38,7.5,0.185,0.178
1.4,7.5,0.147,0.182
1.42,7.5,0.11,0.186
1.44,7.5,0.07,0.19
1.46,7.5,0.03,0.193
1.48,7.5,-0.012,0.197
1.5,7.5,-0.054,0.201
1.52,7.5,-0.091,0.205
1.54,7.2,-0.126,0.209
1.56,6.9,-0.162,0.212
1.58,6.6,-0.199,0.216
1.6,6.3,-0.227,0.22
1.62,6,-0.25,0.223
1.64,5.7,-0.265,0.226
1.66,5.4,-0.281,0.23
1.68,5.1,-0.288,0.233
1.7,4.8,-0.291,0.236
1.72,4.5,-0.29,0.239
1.74,4.2,-0.279,0.242
1.76,3.9,-0.262,0.245
1.78,3.6,-0.243,0.247
1.8,3.3,-0.211,0.25
1.82,3,-0.18,0.252
1.84,2.7,-0.145,0.254
1.86,2.4,-0.099,0.256
1.88,2.1,-0.054,0.258
1.9,1.8,-0.007,0.26
1.92,1.5,0.047,0.261
1.94,1.2,0.101,0.263
1.96,0.9,0.155,0.264
1.98,0.6,0.209,0.265
2,0.3,0.262,0.266
2.02,0,0.316,0.267
2.04,0,0.37,0.267
