=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2024.04.19 10:49:25 =~=~=~=~=~=~=~=~=~=~=~=

Tiempo ,Entrada,ANGULO,POSICION

 -0.400,0,0,0
 -0.380,0,0,0
 -0.360,0,0,0
 -0.340,0,0,0
 -0.320,0,0,0
 -0.300,0,0,0
 -0.280,0,0,0
 -0.260,0,0,0
 -0.240,0,0,0
 -0.220,0,0,0
 -0.200,0,0,0
 -0.180,0,0,0
 -0.160,0,0,0
 -0.140,0,0,0
 -0.120,0,0,0
 -0.100,0,0,0
 -0.080,0,0,0
 -0.060,0,0,0
 -0.040,0,0,0
 -0.020,0,0,0
  0.000, 0.000,-0.000,-0.000
  0.020, 0.000,-0.000,-0.000
  0.040, 0.300,-0.000,-0.000
  0.060, 0.600,-0.000,-0.000
  0.080, 0.900,-0.000,-0.000
  0.100, 1.200,-0.000,-0.000
  0.120, 1.500,-0.000, 0.000
  0.140, 1.800,-0.000, 0.000
  0.160, 2.100,-0.002, 0.000
  0.180, 2.400,-0.003, 0.000
  0.200, 2.700,-0.009, 0.001
  0.220, 3.000,-0.016, 0.001
  0.240, 3.300,-0.026, 0.002
  0.260, 3.600,-0.035, 0.003
  0.280, 3.900,-0.047, 0.003
  0.300, 4.200,-0.059, 0.004
  0.320, 4.500,-0.073, 0.005
  0.340, 4.800,-0.086, 0.006
  0.360, 5.100,-0.079, 0.006
  0.380, 5.400,-0.065, 0.006
  0.400, 5.700,-0.086, 0.008
  0.420, 6.000,-0.108, 0.009
  0.440, 6.300,-0.131, 0.012
  0.460, 6.600,-0.159, 0.014
  0.480, 6.900,-0.180, 0.016
  0.500, 7.200,-0.209, 0.019
  0.520, 7.500,-0.236, 0.022
  0.540, 7.500,-0.258, 0.025
  0.560, 7.500,-0.283, 0.028
  0.580, 7.500,-0.300, 0.031
  0.600, 7.500,-0.319, 0.035
  0.620, 7.500,-0.333, 0.038
  0.640, 7.500,-0.340, 0.041
  0.660, 7.500,-0.349, 0.045
  0.680, 7.500,-0.349, 0.049
  0.700, 7.500,-0.349, 0.052
  0.720, 7.500,-0.339, 0.056
  0.740, 7.500,-0.325, 0.059
  0.760, 7.500,-0.309, 0.063
  0.780, 7.500,-0.286, 0.066
  0.800, 7.500,-0.265, 0.070
  0.820, 7.500,-0.234, 0.074
  0.840, 7.500,-0.204, 0.077
  0.860, 7.500,-0.169, 0.081
  0.880, 7.500,-0.133, 0.085
  0.900, 7.500,-0.098, 0.088
  0.920, 7.500,-0.058, 0.092
  0.940, 7.500,-0.021, 0.096
  0.960, 7.500, 0.019, 0.100
  0.980, 7.500, 0.059, 0.103
  1.000, 7.500, 0.098, 0.107
  1.020, 7.500, 0.134, 0.111
  1.040, 7.500, 0.168, 0.115
  1.060, 7.500, 0.201, 0.118
  1.080, 7.500, 0.234, 0.122
  1.100, 7.500, 0.258, 0.126
  1.120, 7.500, 0.281, 0.130
  1.140, 7.500, 0.300, 0.134
  1.160, 7.500, 0.314, 0.137
  1.180, 7.500, 0.326, 0.141
  1.200, 7.500, 0.332, 0.145
  1.220, 7.500, 0.335, 0.148
  1.240, 7.500, 0.332, 0.152
  1.260, 7.500, 0.323, 0.156
  1.280, 7.500, 0.311, 0.160
  1.300, 7.500, 0.295, 0.163
  1.320, 7.500, 0.272, 0.167
  1.340, 7.500, 0.243, 0.171
  1.360, 7.500, 0.213, 0.175
  1.380, 7.500, 0.185, 0.179
  1.400, 7.500, 0.148, 0.183
  1.420, 7.500, 0.112, 0.186
  1.440, 7.500, 0.072, 0.190
  1.460, 7.500, 0.031, 0.194
  1.480, 7.500,-0.005, 0.198
  1.500, 7.500,-0.047, 0.202
  1.520, 7.500,-0.084, 0.205
  1.540, 7.200,-0.122, 0.209
  1.560, 6.900,-0.159, 0.213
  1.580, 6.600,-0.188, 0.217
  1.600, 6.300,-0.216, 0.220
  1.620, 6.000,-0.236, 0.224
  1.640, 5.700,-0.253, 0.227
  1.660, 5.400,-0.271, 0.230
  1.680, 5.100,-0.278, 0.234
  1.700, 4.800,-0.279, 0.237
  1.720, 4.500,-0.278, 0.240
  1.740, 4.200,-0.267, 0.243
  1.760, 3.900,-0.255, 0.246
  1.780, 3.600,-0.234, 0.248
  1.800, 3.300,-0.209, 0.251
  1.820, 3.000,-0.176, 0.253
  1.840, 2.700,-0.138, 0.255
  1.860, 2.400,-0.101, 0.258
  1.880, 2.100,-0.056, 0.259
  1.900, 1.800,-0.007, 0.261
  1.920, 1.500, 0.042, 0.263
  1.940, 1.200, 0.094, 0.264
  1.960, 0.900, 0.145, 0.266
  1.980, 0.600, 0.201, 0.267
  2.000, 0.300, 0.257, 0.268
  2.020, 0.000, 0.307, 0.269
  2.040, 0.000, 0.360, 0.269
  2.060, 0.000, 0.407, 0.270
  2.080, 0.000, 0.450, 0.270
  2.100, 0.000, 0.490, 0.270
  2.120, 0.000, 0.525, 0.271
  2.140, 0.000, 0.552, 0.271
  2.160, 0.000, 0.571, 0.271
  2.180, 0.000, 0.583, 0.271
  2.200, 0.000, 0.586, 0.271
  2.220, 0.000, 0.585, 0.271
  2.240, 0.000, 0.574, 0.271
  2.260, 0.000, 0.555, 0.271
  2.280, 0.000, 0.529, 0.271
  2.300, 0.000, 0.496, 0.271
  2.320, 0.000, 0.454, 0.271
  2.340, 0.000, 0.408, 0.271
  2.360, 0.000, 0.356, 0.271
  2.380, 0.000, 0.298, 0.271
  2.400, 0.000, 0.236, 0.271
  2.420, 0.000, 0.171, 0.271
  2.440, 0.000, 0.103, 0.271
  2.460, 0.000, 0.033, 0.271
  2.480, 0.000,-0.035, 0.271
  2.500, 0.000,-0.105, 0.271
  2.520, 0.000,-0.171, 0.271
  2.540, 0.000,-0.236, 0.271
  2.560, 0.000,-0.297, 0.271
  2.580, 0.000,-0.354, 0.271
  2.600, 0.000,-0.405, 0.271
  2.620, 0.000,-0.452, 0.271
  2.640, 0.000,-0.492, 0.271
  2.660, 0.000,-0.525, 0.271
  2.680, 0.000,-0.550, 0.271
  2.700, 0.000,-0.567, 0.271
  2.720, 0.000,-0.578, 0.271
  2.740, 0.000,-0.579, 0.271
  2.760, 0.000,-0.572, 0.271
  2.780, 0.000,-0.559, 0.271
  2.800, 0.000,-0.536, 0.271
  2.820, 0.000,-0.504, 0.271
  2.840, 0.000,-0.468, 0.271
  2.860, 0.000,-0.422, 0.271
  2.880, 0.000,-0.374, 0.271
  2.900, 0.000,-0.318, 0.271
  2.920, 0.000,-0.257, 0.271
  2.940, 0.000,-0.194, 0.271
  2.960, 0.000,-0.127, 0.271
  2.980, 0.000,-0.059, 0.271
  3.000, 0.000, 0.009, 0.271
  3.020, 0.000, 0.079, 0.271
  3.040, 0.000, 0.147, 0.271
  3.060, 0.000, 0.213, 0.271
  3.080, 0.000, 0.276, 0.271
  3.100, 0.000, 0.333, 0.271
  3.120, 0.000, 0.387, 0.271
  3.140, 0.000, 0.438, 0.271
  3.160, 0.000, 0.480, 0.271
  3.180, 0.000, 0.517, 0.271
  3.200, 0.000, 0.545, 0.271
  3.220, 0.000, 0.565, 0.271
  3.240, 0.000, 0.578, 0.271
  3.260, 0.000, 0.583, 0.271
  3.280, 0.000, 0.581, 0.271
  3.300, 0.000, 0.571, 0.271
  3.320, 0.000, 0.550, 0.271
  3.340, 0.000, 0.524, 0.271
  3.360, 0.000, 0.489, 0.271
  3.380, 0.000, 0.447, 0.271
  3.400, 0.000, 0.400, 0.271
  3.420, 0.000, 0.347, 0.271
  3.440, 0.000, 0.288, 0.271
  3.460, 0.000, 0.225, 0.271
  3.480, 0.000, 0.162, 0.271
  3.500, 0.000, 0.094, 0.271
  3.520, 0.000, 0.024, 0.271
  3.540, 0.000,-0.044, 0.271
  3.560, 0.000,-0.112, 0.271
  3.580, 0.000,-0.178, 0.271
  3.600, 0.000,-0.243, 0.271
  3.620, 0.000,-0.304, 0.271
  3.640, 0.000,-0.360, 0.271
  3.660, 0.000,-0.410, 0.271
  3.680, 0.000,-0.456, 0.271
  3.700, 0.000,-0.494, 0.271
  3.720, 0.000,-0.527, 0.271
  3.740, 0.000,-0.552, 0.271
  3.760, 0.000,-0.567, 0.271
  3.780, 0.000,-0.574, 0.271
  3.800, 0.000,-0.576, 0.271
  3.820, 0.000,-0.569, 0.271
  3.840, 0.000,-0.553, 0.271
  3.860, 0.000,-0.531, 0.271
  3.880, 0.000,-0.499, 0.271
  3.900, 0.000,-0.459, 0.271
  3.920, 0.000,-0.415, 0.271
  3.940, 0.000,-0.365, 0.271
  3.960, 0.000,-0.309, 0.271
  3.980, 0.000,-0.250, 0.271
  4.000, 0.000,-0.185, 0.271
  4.020, 0.000,-0.119, 0.271
  4.040, 0.000,-0.051, 0.271
  4.060, 0.000, 0.019, 0.271
  4.080, 0.000, 0.087, 0.271
  4.100, 0.000, 0.155, 0.271
  4.120, 0.000, 0.220, 0.271
  4.140, 0.000, 0.281, 0.271
  4.160, 0.000, 0.340, 0.271
  4.180, 0.000, 0.393, 0.271
  4.200, 0.000, 0.442, 0.271
  4.220, 0.000, 0.482, 0.271
  4.240, 0.000, 0.518, 0.271
  4.260, 0.000, 0.545, 0.271
  4.280, 0.000, 0.564, 0.271
  4.300, 0.000, 0.576, 0.271
  4.320, 0.000, 0.581, 0.271
  4.340, 0.000, 0.578, 0.271
  4.360, 0.000, 0.564, 0.271
  4.380, 0.000, 0.545, 0.271
  4.400, 0.000, 0.517, 0.271
  4.420, 0.000, 0.480, 0.271
  4.440, 0.000, 0.440, 0.271
  4.460, 0.000, 0.391, 0.271
  4.480, 0.000, 0.337, 0.271
  4.500, 0.000, 0.279, 0.271
  4.520, 0.000, 0.218, 0.271
  4.540, 0.000, 0.152, 0.271
  4.560, 0.000, 0.084, 0.271
  4.580, 0.000, 0.016, 0.271
  4.600, 0.000,-0.052, 0.271
  4.620, 0.000,-0.120, 0.271
  4.640, 0.000,-0.187, 0.271
  4.660, 0.000,-0.250, 0.271
  4.680, 0.000,-0.309, 0.271
  4.700, 0.000,-0.365, 0.271
  4.720, 0.000,-0.415, 0.271
  4.740, 0.000,-0.459, 0.271
  4.760, 0.000,-0.497, 0.271
  4.780, 0.000,-0.527, 0.271
  4.800, 0.000,-0.552, 0.271
  4.820, 0.000,-0.565, 0.271
  4.840, 0.000,-0.572, 0.271
  4.860, 0.000,-0.572, 0.271
  4.880, 0.000,-0.564, 0.271
  4.900, 0.000,-0.548, 0.271
  4.920, 0.000,-0.524, 0.271
  4.940, 0.000,-0.490, 0.271
  4.960, 0.000,-0.452, 0.271
  4.980, 0.000,-0.407, 0.271
  5.000, 0.000,-0.356, 0.271
  5.020, 0.000,-0.300, 0.271
  5.040, 0.000,-0.239, 0.271
  5.060, 0.000,-0.175, 0.271
  5.080, 0.000,-0.110, 0.271
  5.100, 0.000,-0.040, 0.271
  5.120, 0.000, 0.028, 0.271
  5.140, 0.000, 0.096, 0.271
  5.160, 0.000, 0.162, 0.271
  5.180, 0.000, 0.227, 0.271
  5.200, 0.000, 0.288, 0.271
  5.220, 0.000, 0.346, 0.271
  5.240, 0.000, 0.398, 0.271
  5.260, 0.000, 0.445, 0.271
  5.280, 0.000, 0.485, 0.271
  5.300, 0.000, 0.520, 0.271
  5.320, 0.000, 0.546, 0.271
  5.340, 0.000, 0.564, 0.271
