Tiempo ,YAW,PITCH,E_PITCH,E_YAW
-0.4,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0
0.0,-2.384,0.0,0.0,0.0
0.02,-2.384,0.0,0.0,0.0
0.04,-2.384,0.0,0.0,6.0
0.06,-2.384,0.0,0.0,6.0
0.08,-2.384,0.0,0.0,6.0
0.1,-2.384,0.0,0.0,6.0
0.12,-2.384,0.0,0.0,6.0
0.14,-2.384,0.0,0.0,6.0
0.16,-2.384,0.0,0.0,6.0
0.18,-2.384,0.0,0.0,6.0
0.2,-2.384,0.0,0.0,6.0
0.22,-2.384,0.0,0.0,6.0
0.24,-2.386,0.0,0.0,6.0
0.26,-2.386,0.0,0.0,6.0
0.28,-2.386,0.0,0.0,6.0
0.3,-2.386,0.0,0.0,6.0
0.32,-2.388,0.0,0.0,6.0
0.34,-2.388,0.0,0.0,6.0
0.36,-2.389,0.0,0.0,6.0
0.38,-2.389,0.0,0.0,6.0
0.4,-2.391,0.0,0.0,6.0
0.42,-2.391,0.0,0.0,6.0
0.44,-2.393,0.0,0.0,6.0
0.46,-2.393,0.0,0.0,6.0
0.48,-2.395,0.0,0.0,6.0
0.5,-2.396,0.0,0.0,6.0
0.52,-2.398,0.0,0.0,6.0
0.54,-2.4,0.0,0.0,6.0
0.56,-2.402,0.0,0.0,6.0
0.58,-2.403,0.0,0.0,6.0
0.6,-2.405,0.0,0.0,6.0
0.62,-2.407,0.0,0.0,6.0
