Tiempo ,CORRIENT,VELOCIDA,ENTRADA
 -0.100,0,0,0
 -0.095,0,0,0
 -0.090,0,0,0
 -0.085,0,0,0
 -0.080,0,0,0
 -0.075,0,0,0
 -0.070,0,0,0
 -0.065,0,0,0
 -0.060,0,0,0
 -0.055,0,0,0
 -0.050,0,0,0
 -0.045,0,0,0
 -0.040,0,0,0
 -0.035,0,0,0
 -0.030,0,0,0
 -0.025,0,0,0
 -0.020,0,0,0
 -0.015,0,0,0
 -0.010,0,0,0
 -0.005,0,0,0
  0.000, 0.019, 0.020, 0.000
  0.005, 0.019, 0.030, 0.000
  0.010, 0.019, 0.030, 0.000
  0.015, 0.019, 0.027, 0.000
  0.020, 0.019, 0.027, 0.000
  0.025, 0.019, 0.022, 0.000
  0.030, 0.019, 0.022, 0.000
  0.035, 0.019, 0.018, 0.000
  0.040, 0.020, 0.018, 0.000
  0.045, 0.019, 0.018, 0.000
  0.050, 0.019, 0.020, 0.000
  0.055, 0.019, 0.025, 0.000
  0.060, 0.019, 0.025, 0.000
  0.065, 0.019, 0.030, 0.000
  0.070, 0.019, 0.032, 0.000
  0.075, 0.019, 0.030, 0.000
  0.080, 0.019, 0.030, 0.000
  0.085, 0.019, 0.027, 0.000
  0.090, 0.020, 0.025, 0.000
  0.095, 0.019, 0.025, 0.000
  0.100, 0.019, 0.022, 0.000
  0.105, 0.020, 0.018, 0.000
  0.110, 0.019, 0.020, 0.000
  0.115, 0.018, 0.020, 0.000
  0.120, 0.019, 0.022, 0.000
  0.125, 0.019, 0.022, 0.000
  0.130, 0.019, 0.025, 0.000
  0.135, 0.019, 0.027, 0.000
  0.140, 0.019, 0.030, 0.000
  0.145, 0.019, 0.030, 0.000
  0.150, 0.019, 0.032, 0.000
  0.155, 0.019, 0.032, 0.000
  0.160, 0.019, 0.032, 0.000
  0.165, 0.019, 0.027, 0.000
  0.170, 0.019, 0.027, 0.000
  0.175, 0.019, 0.025, 0.000
  0.180, 0.019, 0.022, 0.000
  0.185, 0.020, 0.018, 0.000
  0.190, 0.020, 0.018, 0.000
  0.195, 0.019, 0.020, 0.000
  0.200, 0.020, 0.020, 0.000
  0.205, 0.019, 0.020, 0.000
  0.210, 0.019, 0.022, 0.000
  0.215, 0.018, 0.025, 0.000
  0.220, 0.019, 0.030, 0.000
  0.225, 0.018, 0.030, 0.000
  0.230, 0.019, 0.030, 0.000
  0.235, 0.019, 0.030, 0.000
  0.240, 0.019, 0.032, 0.000
  0.245, 0.019, 0.030, 0.000
  0.250, 0.020, 0.030, 0.000
  0.255, 0.019, 0.027, 0.000
  0.260, 0.020, 0.027, 0.000
  0.265, 0.019, 0.022, 0.000
  0.270, 0.019, 0.020, 0.000
  0.275, 0.018, 0.018, 0.000
  0.280, 0.019, 0.020, 0.000
  0.285, 0.019, 0.018, 0.000
  0.290, 0.019, 0.020, 0.000
  0.295, 0.019, 0.018, 0.000
  0.300, 0.019, 0.025, 0.000
  0.305, 0.019, 0.025, 0.000
  0.310, 0.019, 0.030, 0.000
  0.315, 0.019, 0.027, 0.000
  0.320, 0.019, 0.032, 0.000
  0.325, 0.019, 0.030, 0.000
  0.330, 0.019, 0.030, 0.000
  0.335, 0.019, 0.030, 0.000
  0.340, 0.020, 0.030, 0.000
  0.345, 0.019, 0.027, 0.000
  0.350, 0.019, 0.022, 0.000
  0.355, 0.019, 0.020, 0.000
  0.360, 0.019, 0.018, 0.000
  0.365, 0.019, 0.020, 0.000
  0.370, 0.019, 0.020, 0.000
  0.375, 0.019, 0.018, 0.000
  0.380, 0.019, 0.018, 0.000
  0.385, 0.019, 0.022, 0.000
  0.390, 0.019, 0.027, 0.000
  0.395, 0.019, 0.027, 0.000
  0.400, 0.019, 0.030, 0.000
  0.405, 0.019, 0.032, 0.000
  0.410, 0.019, 0.035, 0.000
  0.415, 0.019, 0.030, 0.000
  0.420, 0.019, 0.030, 0.000
  0.425, 0.019, 0.030, 0.000
  0.430, 0.019, 0.027, 0.000
  0.435, 0.020, 0.020, 0.000
  0.440, 0.019, 0.020, 0.000
  0.445, 0.019, 0.020, 0.000
  0.450, 0.019, 0.018, 0.000
  0.455, 0.019, 0.018, 0.000
  0.460, 0.019, 0.018, 0.000
  0.465, 0.019, 0.020, 0.000
  0.470, 0.019, 0.022, 0.000
  0.475, 0.019, 0.027, 0.000
  0.480, 0.018, 0.025, 0.000
  0.485, 0.019, 0.027, 0.000
  0.490, 0.019, 0.032, 0.000
  0.495, 0.019, 0.032, 0.000
  0.500, 0.019, 0.027, 0.000
  0.505, 0.019, 0.032, 0.000
  0.510, 0.460, 0.037, 3.000
  0.515, 0.578, 0.435, 3.000
  0.520, 0.552, 0.805, 3.000
  0.525, 0.530, 1.100, 3.000
  0.530, 0.521, 1.338, 3.000
  0.535, 0.501, 1.555, 3.000
  0.540, 0.464, 1.740, 3.000
  0.545, 0.454, 1.845, 3.000
  0.550, 0.431, 1.982, 3.000
  0.555, 0.422, 2.120, 3.000
  0.560, 0.437, 2.213, 3.000
  0.565, 0.396, 2.325, 3.000
  0.570, 0.410, 2.398, 3.000
  0.575, 0.385, 2.522, 3.000
  0.580, 0.390, 2.578, 3.000
  0.585, 0.366, 2.620, 3.000
  0.590, 0.375, 2.730, 3.000
  0.595, 0.349, 2.770, 3.000
  0.600, 0.359, 2.858, 3.000
  0.605, 0.344, 2.900, 3.000
  0.610, 0.343, 2.965, 3.000
  0.615, 0.316, 3.062, 3.000
  0.620, 0.329, 3.090, 3.000
  0.625, 0.288, 3.185, 3.000
  0.630, 0.323, 3.207, 3.000
  0.635, 0.301, 3.288, 3.000
  0.640, 0.296, 3.282, 3.000
  0.645, 0.313, 3.305, 3.000
  0.650, 0.274, 3.400, 3.000
  0.655, 0.306, 3.422, 3.000
  0.660, 0.293, 3.455, 3.000
  0.665, 0.264, 3.540, 3.000
  0.670, 0.302, 3.492, 3.000
  0.675, 0.264, 3.628, 3.000
  0.680, 0.259, 3.602, 3.000
  0.685, 0.283, 3.625, 3.000
  0.690, 0.250, 3.728, 3.000
  0.695, 0.246, 3.702, 3.000
  0.700, 0.280, 3.702, 3.000
  0.705, 0.252, 3.817, 3.000
  0.710, 0.230, 3.835, 3.000
  0.715, 0.262, 3.803, 3.000
  0.720, 0.252, 3.835, 3.000
  0.725, 0.211, 3.870, 3.000
  0.730, 0.237, 3.848, 3.000
  0.735, 0.254, 3.872, 3.000
  0.740, 0.226, 3.950, 3.000
  0.745, 0.219, 3.950, 3.000
  0.750, 0.248, 3.928, 3.000
  0.755, 0.235, 3.997, 3.000
  0.760, 0.195, 4.040, 3.000
  0.765, 0.211, 4.027, 3.000
  0.770, 0.247, 4.035, 3.000
  0.775, 0.235, 4.095, 3.000
  0.780, 0.190, 4.078, 3.000
  0.785, 0.208, 4.070, 3.000
  0.790, 0.229, 4.108, 3.000
  0.795, 0.230, 4.168, 3.000
  0.800, 0.184, 4.140, 3.000
  0.805, 0.196, 4.142, 3.000
  0.810, 0.226, 4.157, 3.000
  0.815, 0.216, 4.190, 3.000
  0.820, 0.171, 4.210, 3.000
  0.825, 0.198, 4.207, 3.000
  0.830, 0.224, 4.148, 3.000
  0.835, 0.217, 4.230, 3.000
  0.840, 0.194, 4.260, 3.000
  0.845, 0.184, 4.253, 3.000
  0.850, 0.216, 4.253, 3.000
  0.855, 0.214, 4.222, 3.000
  0.860, 0.209, 4.325, 3.000
  0.865, 0.169, 4.290, 3.000
  0.870, 0.182, 4.290, 3.000
  0.875, 0.215, 4.253, 3.000
  0.880, 0.204, 4.307, 3.000
  0.885, 0.182, 4.322, 3.000
  0.890, 0.171, 4.363, 3.000
  0.895, 0.186, 4.290, 3.000
  0.900, 0.209, 4.322, 3.000
  0.905, 0.197, 4.347, 3.000
  0.910, 0.169, 4.392, 3.000
  0.915, 0.171, 4.350, 3.000
  0.920, 0.193, 4.358, 3.000
  0.925, 0.198, 4.338, 3.000
  0.930, 0.196, 4.392, 3.000
  0.935, 0.160, 4.410, 3.000
  0.940, 0.170, 4.367, 3.000
  0.945, 0.193, 4.383, 3.000
  0.950, 0.197, 4.358, 3.000
  0.955, 0.199, 4.425, 3.000
  0.960, 0.161, 4.435, 3.000
  0.965, 0.168, 4.392, 3.000
  0.970, 0.190, 4.408, 3.000
  0.975, 0.200, 4.387, 3.000
  0.980, 0.198, 4.418, 3.000
  0.985, 0.169, 4.457, 3.000
  0.990, 0.165, 4.435, 3.000
  0.995, 0.181, 4.390, 3.000
  1.000, 0.211, 4.412, 3.000
  1.005, 0.194, 4.425, 3.000
  1.010, 0.173, 4.448, 3.000
  1.015, 0.161, 4.483, 3.000
  1.020, 0.169, 4.415, 3.000
  1.025, 0.207, 4.405, 3.000
  1.030, 0.201, 4.455, 3.000
  1.035, 0.172, 4.470, 3.000
  1.040, 0.148, 4.467, 3.000
  1.045, 0.169, 4.452, 3.000
  1.050, 0.193, 4.428, 3.000
  1.055, 0.195, 4.420, 3.000
  1.060, 0.191, 4.512, 3.000
  1.065, 0.149, 4.487, 3.000
  1.070, 0.163, 4.455, 3.000
  1.075, 0.184, 4.457, 3.000
  1.080, 0.194, 4.455, 3.000
  1.085, 0.188, 4.470, 3.000
  1.090, 0.168, 4.493, 3.000
  1.095, 0.153, 4.517, 3.000
  1.100, 0.166, 4.455, 3.000
  1.105, 0.194, 4.415, 3.000
  1.110, 0.194, 4.470, 3.000
  1.115, 0.178, 4.532, 3.000
  1.120, 0.140, 4.490, 3.000
  1.125, 0.164, 4.467, 3.000
  1.130, 0.182, 4.483, 3.000
  1.135, 0.189, 4.470, 3.000
  1.140, 0.184, 4.485, 3.000
  1.145, 0.162, 4.517, 3.000
  1.150, 0.153, 4.540, 3.000
  1.155, 0.159, 4.475, 3.000
  1.160, 0.192, 4.443, 3.000
  1.165, 0.194, 4.495, 3.000
  1.170, 0.184, 4.550, 3.000
