Tiempo ,CORRIENTE,VELOCIDAD,ENTRADA
-0.1,0.0,0.0,0.0
-0.095,0.0,0.0,0.0
-0.09,0.0,0.0,0.0
-0.085,0.0,0.0,0.0
-0.08,0.0,0.0,0.0
-0.075,0.0,0.0,0.0
-0.07,0.0,0.0,0.0
-0.065,0.0,0.0,0.0
-0.06,0.0,0.0,0.0
-0.055,0.0,0.0,0.0
-0.05,0.0,0.0,0.0
-0.045,0.0,0.0,0.0
-0.04,0.0,0.0,0.0
-0.035,0.0,0.0,0.0
-0.03,0.0,0.0,0.0
-0.025,0.0,0.0,0.0
-0.02,0.0,0.0,0.0
-0.015,0.0,0.0,0.0
-0.01,0.0,0.0,0.0
-0.005,0.0,0.0,0.0
0.0,0.018,0.027,0.0
0.005,0.019,0.03,0.0
0.01,0.019,0.022,0.0
0.015,0.02,0.022,0.0
0.02,0.019,0.018,0.0
0.025,0.02,0.018,0.0
0.03,0.019,0.02,0.0
0.035,0.019,0.025,0.0
0.04,0.019,0.025,0.0
0.045,0.019,0.027,0.0
0.05,0.018,0.032,0.0
0.055,0.019,0.032,0.0
0.06,0.019,0.032,0.0
0.065,0.019,0.03,0.0
0.07,0.019,0.03,0.0
0.075,0.02,0.025,0.0
0.08,0.019,0.022,0.0
0.085,0.019,0.022,0.0
0.09,0.019,0.018,0.0
0.095,0.019,0.02,0.0
0.1,0.018,0.02,0.0
0.105,0.019,0.022,0.0
0.11,0.019,0.022,0.0
0.115,0.019,0.03,0.0
0.12,0.019,0.032,0.0
0.125,0.02,0.032,0.0
0.13,0.019,0.03,0.0
0.135,0.019,0.032,0.0
0.14,0.019,0.03,0.0
0.145,0.019,0.027,0.0
0.15,0.018,0.025,0.0
0.155,0.019,0.022,0.0
0.16,0.019,0.02,0.0
0.165,0.019,0.02,0.0
0.17,0.02,0.02,0.0
0.175,0.02,0.018,0.0
0.18,0.019,0.02,0.0
0.185,0.019,0.022,0.0
0.19,0.019,0.022,0.0
0.195,0.019,0.022,0.0
0.2,0.018,0.03,0.0
0.205,0.019,0.032,0.0
0.21,0.019,0.03,0.0
0.215,0.019,0.03,0.0
0.22,0.019,0.032,0.0
0.225,0.019,0.032,0.0
0.23,0.019,0.03,0.0
0.235,0.019,0.025,0.0
0.24,0.019,0.025,0.0
0.245,0.019,0.022,0.0
0.25,0.019,0.02,0.0
0.255,0.019,0.018,0.0
0.26,0.019,0.018,0.0
0.265,0.019,0.02,0.0
0.27,0.018,0.022,0.0
0.275,0.019,0.025,0.0
0.28,0.019,0.022,0.0
0.285,0.019,0.03,0.0
0.29,0.019,0.032,0.0
0.295,0.019,0.03,0.0
0.3,0.019,0.032,0.0
0.305,0.019,0.032,0.0
0.31,0.019,0.032,0.0
0.315,0.019,0.03,0.0
0.32,0.019,0.027,0.0
0.325,0.019,0.025,0.0
0.33,0.019,0.025,0.0
0.335,0.019,0.02,0.0
0.34,0.019,0.018,0.0
0.345,0.019,0.018,0.0
0.35,0.019,0.02,0.0
0.355,0.019,0.02,0.0
0.36,0.019,0.02,0.0
0.365,0.019,0.02,0.0
0.37,0.019,0.03,0.0
0.375,0.019,0.03,0.0
0.38,0.019,0.03,0.0
0.385,0.019,0.03,0.0
0.39,0.019,0.032,0.0
0.395,0.02,0.032,0.0
0.4,0.019,0.03,0.0
0.405,0.019,0.027,0.0
0.41,0.019,0.025,0.0
0.415,0.02,0.022,0.0
0.42,0.019,0.02,0.0
0.425,0.019,0.02,0.0
0.43,0.019,0.018,0.0
0.435,0.019,0.02,0.0
0.44,0.019,0.02,0.0
0.445,0.019,0.02,0.0
0.45,0.018,0.022,0.0
0.455,0.018,0.03,0.0
0.46,0.018,0.03,0.0
0.465,0.018,0.03,0.0
0.47,0.019,0.032,0.0
