Tiempo ,ANGULO,ESTIMULO
-0.4,0.0,0.0
-0.38,0.0,0.0
-0.36,0.0,0.0
-0.34,0.0,0.0
-0.32,0.0,0.0
-0.3,0.0,0.0
-0.28,0.0,0.0
-0.26,0.0,0.0
-0.24,0.0,0.0
-0.22,0.0,0.0
-0.2,0.0,0.0
-0.18,0.0,0.0
-0.16,0.0,0.0
-0.14,0.0,0.0
-0.12,0.0,0.0
-0.1,0.0,0.0
-0.08,0.0,0.0
-0.06,0.0,0.0
-0.04,0.0,0.0
-0.02,0.0,0.0
0.0,0.014,0.0
0.02,0.016,0.0
0.04,0.019,0.0
0.06,0.023,0.0
0.08,0.028,0.0
0.1,0.031,0.0
0.12,0.035,0.0
0.14,0.038,0.0
0.16,0.044,0.0
0.18,0.047,0.0
0.2,0.051,0.0
0.22,0.054,0.0
0.24,0.058,0.0
0.26,0.061,0.0
0.28,0.065,0.0
0.3,0.068,0.0
0.32,0.072,0.0
0.34,0.073,0.0
0.36,0.077,0.0
0.38,0.079,0.0
0.4,0.08,0.0
0.42,0.082,0.0
0.44,0.084,0.0
0.46,0.084,0.0
0.48,0.086,0.0
0.5,0.086,0.0
0.52,0.086,0.0
0.54,0.086,0.0
0.56,0.084,0.0
0.58,0.084,0.0
0.6,0.082,0.0
0.62,0.08,0.0
0.64,0.079,0.0
0.66,0.077,0.0
0.68,0.073,0.0
0.7,0.072,0.0
0.72,0.068,0.0
0.74,0.065,0.0
0.76,0.061,0.0
0.78,0.058,0.0
0.8,0.054,0.0
0.82,0.051,0.0
0.84,0.047,0.0
0.86,0.044,0.0
0.88,0.04,0.0
0.9,0.037,0.0
0.92,0.033,0.0
0.94,0.028,0.0
0.96,0.024,0.0
0.98,0.021,0.0
1.0,0.019,0.0
1.02,0.016,0.0
1.04,0.012,1.7
1.06,0.01,1.7
1.08,0.007,1.7
1.1,0.005,1.7
1.12,0.003,1.7
1.14,0.003,1.7
1.16,0.002,1.7
1.18,0.003,1.7
1.2,0.005,1.7
1.22,0.01,1.7
1.24,0.017,1.7
1.26,0.028,1.7
1.28,0.04,1.7
1.3,0.058,1.7
1.32,0.077,1.7
1.34,0.101,1.7
1.36,0.127,1.7
1.38,0.157,1.7
1.4,0.19,1.7
1.42,0.225,1.7
1.44,0.264,1.7
1.46,0.304,1.7
1.48,0.346,1.7
1.5,0.391,1.7
1.52,0.436,1.7
1.54,0.483,1.7
1.56,0.531,1.7
1.58,0.578,1.7
1.6,0.627,1.7
1.62,0.674,1.7
1.64,0.723,1.7
1.66,0.768,1.7
