Tiempo ,CONTROL,REI,VELOCIDAD,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0,0.0,0.0,-0.0,0.0,0.0
0.04,0.033,0.033,0.0,-0.0,0.6,0.0
0.06,0.066,0.066,0.0,-0.0,0.6,0.0
0.08,0.099,0.099,0.0,-0.0,0.6,0.0
0.1,0.131,0.131,0.0,-0.0,0.6,0.0
0.12,0.164,0.164,0.0,-0.0,0.6,0.0
0.14,0.197,0.197,0.0,-0.0,0.6,0.0
0.16,0.23,0.23,0.0,-0.0,0.6,0.0
0.18,0.263,0.263,0.0,-0.0,0.6,0.0
0.2,0.296,0.296,0.0,-0.0,0.6,0.0
0.22,0.329,0.329,0.0,-0.0,0.6,0.0
0.24,0.361,0.361,0.0,-0.0,0.6,0.0
0.26,0.394,0.394,0.0,-0.0,0.6,0.0
0.28,0.427,0.427,0.0,-0.0,0.6,0.0
0.3,0.46,0.46,0.0,-0.0,0.6,0.0
0.32,0.493,0.493,0.0,-0.0,0.6,0.0
0.34,0.526,0.526,0.0,-0.0,0.6,0.0
