Tiempo ,CONTROL,PID,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0,0.0,-0.0,0.0,0.0
0.04,0.926,0.926,-0.0,0.6,0.0
0.06,0.788,0.788,-0.0,0.6,0.0
0.08,0.669,0.669,-0.0,0.6,0.0
0.1,0.566,0.566,-0.0,0.6,0.0
0.12,0.478,0.478,-0.0,0.6,0.0
0.14,0.402,0.402,-0.0,0.6,0.0
0.16,0.338,0.338,-0.0,0.6,0.0
0.18,0.281,0.281,0.002,0.6,0.0
0.2,0.235,0.235,0.002,0.6,0.0
0.22,0.197,0.197,0.002,0.6,0.0
0.24,0.163,0.163,0.003,0.6,0.0
0.26,0.138,0.138,0.003,0.6,0.0
0.28,0.115,0.115,0.005,0.6,0.0
0.3,0.097,0.097,0.007,0.6,0.0
0.32,0.083,0.083,0.009,0.6,0.0
0.34,0.075,0.075,0.009,0.6,0.0
0.36,0.068,0.068,0.01,0.6,0.0
0.38,0.063,0.063,0.012,0.6,0.0
0.4,0.061,0.061,0.014,0.6,0.0
0.42,0.061,0.061,0.016,0.6,0.0
0.44,0.066,0.066,0.016,0.6,0.0
0.46,0.07,0.07,0.017,0.6,0.0
0.48,0.074,0.074,0.019,0.6,0.0
0.5,0.083,0.083,0.019,0.6,0.0
0.52,0.09,0.09,0.021,0.6,0.0
0.54,0.098,0.098,0.023,0.6,0.0
0.56,0.11,0.11,0.023,0.6,0.0
0.58,0.119,0.119,0.024,0.6,0.0
0.6,0.132,0.132,0.024,0.6,0.0
0.62,0.145,0.145,0.024,0.6,0.0
0.64,0.159,0.159,0.024,0.6,0.0
0.66,0.169,0.169,0.026,0.6,0.0
0.68,0.184,0.184,0.026,0.6,0.0
0.7,0.2,0.2,0.024,0.6,0.0
0.72,0.214,0.214,0.024,0.6,0.0
0.74,0.228,0.228,0.024,0.6,0.0
0.76,0.243,0.243,0.024,0.6,0.0
0.78,0.259,0.259,0.023,0.6,0.0
0.8,0.273,0.273,0.023,0.6,0.0
0.82,0.29,0.29,0.021,0.6,0.0
0.84,0.304,0.304,0.021,0.6,0.0
0.86,0.321,0.321,0.019,0.6,0.0
0.88,0.337,0.337,0.017,0.6,0.0
0.9,0.353,0.353,0.016,0.6,0.0
0.92,0.366,0.366,0.016,0.6,0.0
0.94,0.382,0.382,0.014,0.6,0.0
0.96,0.398,0.398,0.012,0.6,0.0
0.98,0.412,0.412,0.012,0.6,0.0
1.0,0.428,0.428,0.01,0.6,0.0
1.02,0.444,0.444,0.009,0.6,0.0
1.04,0.457,0.457,0.009,0.6,0.0
1.06,0.47,0.47,0.009,0.6,0.0
1.08,0.484,0.484,0.009,0.6,0.0
1.1,0.498,0.498,0.009,0.6,0.0
1.12,0.509,0.509,0.01,0.6,0.0
1.14,0.523,0.523,0.01,0.6,0.0
1.16,0.535,0.535,0.012,0.6,0.0
1.18,0.545,0.545,0.016,0.6,0.0
1.2,0.558,0.558,0.017,0.6,0.0
1.22,0.569,0.569,0.021,0.6,0.0
1.24,0.581,0.581,0.024,0.6,0.0
1.26,0.59,0.59,0.03,0.6,0.0
1.28,0.603,0.603,0.033,0.6,0.0
1.3,0.611,0.611,0.04,0.6,0.0
1.32,0.623,0.623,0.045,0.6,0.0
1.34,0.633,0.633,0.052,0.6,0.0
1.36,0.643,0.643,0.059,0.6,0.0
1.38,0.652,0.652,0.068,0.6,0.0
1.4,0.662,0.662,0.077,0.6,0.0
1.42,0.672,0.672,0.086,0.6,0.0
1.44,0.683,0.683,0.094,0.6,0.0
1.46,0.692,0.692,0.105,0.6,0.0
1.48,0.702,0.702,0.115,0.6,0.0
1.5,0.716,0.716,0.124,0.6,0.0
1.52,0.724,0.724,0.136,0.6,0.0
1.54,0.736,0.736,0.147,0.6,0.0
1.56,0.749,0.749,0.157,0.6,0.0
1.58,0.759,0.759,0.169,0.6,0.0
1.6,0.77,0.77,0.182,0.6,0.0
1.62,0.784,0.784,0.192,0.6,0.0
1.64,0.798,0.798,0.202,0.6,0.0
1.66,0.809,0.809,0.215,0.6,0.0
1.68,0.824,0.824,0.225,0.6,0.0
1.7,0.838,0.838,0.236,0.6,0.0
1.72,0.85,0.85,0.248,0.6,0.0
1.74,0.864,0.864,0.258,0.6,0.0
1.76,0.881,0.881,0.267,0.6,0.0
1.78,0.895,0.895,0.278,0.6,0.0
1.8,0.911,0.911,0.286,0.6,0.0
1.82,0.926,0.926,0.295,0.6,0.0
1.84,0.941,0.941,0.304,0.6,0.0
1.86,0.956,0.956,0.312,0.6,0.0
1.88,0.972,0.972,0.319,0.6,0.0
1.9,0.988,0.988,0.326,0.6,0.0
1.92,1.006,1.006,0.332,0.6,0.0
1.94,1.02,1.02,0.339,0.6,0.0
1.96,1.036,1.036,0.344,0.6,0.0
1.98,1.054,1.054,0.347,0.6,0.0
2.0,1.068,1.068,0.353,0.6,0.0
2.02,1.084,1.084,0.356,0.6,0.0
2.04,1.099,1.099,0.36,0.6,0.0
2.06,1.115,1.115,0.361,0.6,0.0
2.08,1.128,1.128,0.365,0.6,0.0
2.1,1.143,1.143,0.367,0.6,0.0
2.12,1.157,1.157,0.368,0.6,0.0
2.14,1.173,1.173,0.368,0.6,0.0
2.16,1.184,1.184,0.37,0.6,0.0
2.18,1.198,1.198,0.37,0.6,0.0
2.2,1.211,1.211,0.37,0.6,0.0
2.22,1.223,1.223,0.37,0.6,0.0
2.24,1.234,1.234,0.37,0.6,0.0
2.26,1.245,1.245,0.37,0.6,0.0
2.28,1.255,1.255,0.37,0.6,0.0
2.3,1.265,1.265,0.37,0.6,0.0
2.32,1.274,1.274,0.37,0.6,0.0
2.34,1.282,1.282,0.37,0.6,0.0
2.36,1.291,1.291,0.37,0.6,0.0
2.38,1.299,1.299,0.37,0.6,0.0
2.4,1.307,1.307,0.37,0.6,0.0
2.42,1.314,1.314,0.37,0.6,0.0
2.44,1.322,1.322,0.37,0.6,0.0
2.46,1.326,1.326,0.372,0.6,0.0
2.48,1.331,1.331,0.374,0.6,0.0
2.5,1.339,1.339,0.374,0.6,0.0
2.52,1.343,1.343,0.375,0.6,0.0
2.54,1.348,1.348,0.377,0.6,0.0
2.56,1.351,1.351,0.38,0.6,0.0
2.58,1.357,1.357,0.382,0.6,0.0
2.6,1.36,1.36,0.386,0.6,0.0
2.62,1.366,1.366,0.387,0.6,0.0
2.64,1.37,1.37,0.391,0.6,0.0
2.66,1.373,1.373,0.394,0.6,0.0
2.68,1.375,1.375,0.4,0.6,0.0
2.7,1.38,1.38,0.403,0.6,0.0
2.72,1.385,1.385,0.407,0.6,0.0
2.74,1.388,1.388,0.412,0.6,0.0
2.76,1.391,1.391,0.417,0.6,0.0
2.78,1.394,1.394,0.422,0.6,0.0
2.8,1.398,1.398,0.428,0.6,0.0
