Tiempo ,CONTROL,REI,VELOCIDAD,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0,0.0,0.0,-0.0,0.0,0.0
0.04,0.019,0.019,0.0,-0.0,0.6,0.0
0.06,0.038,0.038,0.0,-0.0,0.6,0.0
0.08,0.057,0.057,0.0,-0.0,0.6,0.0
0.1,0.075,0.075,0.0,-0.0,0.6,0.0
0.12,0.094,0.094,0.0,-0.0,0.6,0.0
0.14,0.113,0.113,0.0,-0.0,0.6,0.0
0.16,0.132,0.132,0.0,-0.0,0.6,0.0
0.18,0.151,0.151,0.0,-0.0,0.6,0.0
0.2,0.17,0.17,0.0,-0.0,0.6,0.0
0.22,0.188,0.188,0.0,-0.0,0.6,0.0
0.24,0.207,0.207,0.0,-0.0,0.6,0.0
0.26,0.226,0.226,0.0,-0.0,0.6,0.0
0.28,0.245,0.245,0.0,-0.0,0.6,0.0
0.3,0.264,0.264,0.0,-0.0,0.6,0.0
0.32,0.283,0.283,0.0,-0.0,0.6,0.0
0.34,0.301,0.301,0.0,-0.0,0.6,0.0
